Duration mean, 118.41901543209876, std dev, 1.4101755144032884
Rel slew mean, 0.07471485598927681, std dev, 0.004389183209822388
Rel wait mean, 0.3127171490462575, std dev, 0.014543630652638317
Rel obs mean, 0.6125679949644658, std dev, 0.014693894782743269
No, Duration, Slew time, Wait time, Obs time, Rel slew, Rel wait, Rel obs, Max attempts, Times max att, Obs result 1, Obs result 2, Obs result 3, Obs result 4, Interruption 1, Interruption 2 
50, 118.2275, 8.548333333333334, 38.483333333333334, 71.19583333333334, 0.07230410296532815, 0.32550238593671804, 0.6021935110979538, 4, 2, 105, 54, 169, 13, 18, 10, 
51, 120.50888888888889, 8.77638888888889, 34.0, 77.7325, 0.07282773055007469, 0.28213686403953603, 0.6450354054103893, 4, 1, 92, 64, 174, 14, 16, 15, 
52, 118.06138888888889, 8.209444444444443, 36.8, 73.05194444444444, 0.06953538766319782, 0.3117022453008204, 0.6187623670359818, 5, 1, 115, 45, 171, 22, 20, 12, 
53, 118.62194444444444, 8.639722222222222, 39.0, 70.98222222222222, 0.07283409711993519, 0.32877559192485933, 0.5983903109552055, 4, 1, 102, 61, 168, 16, 16, 15, 
54, 119.19416666666667, 8.36361111111111, 37.8, 73.03055555555555, 0.07016795657878484, 0.31712961344584817, 0.612702429975367, 6, 1, 105, 54, 171, 11, 17, 13, 
55, 116.64583333333334, 9.252222222222223, 36.78333333333333, 70.61027777777777, 0.07931892599869024, 0.3153420253616717, 0.605339048639638, 5, 1, 104, 55, 181, 13, 23, 18, 
56, 119.64333333333335, 8.591666666666667, 33.583333333333336, 77.46833333333333, 0.07181065946006185, 0.28069540021731254, 0.6474939403226255, 5, 1, 112, 48, 179, 11, 21, 18, 
57, 119.16055555555556, 9.148055555555555, 34.31666666666667, 75.69583333333334, 0.07677083673288607, 0.287986796525696, 0.635242366741418, 4, 2, 98, 62, 175, 12, 20, 16, 
58, 117.92055555555557, 7.648888888888888, 36.45, 73.82166666666666, 0.06486476299957128, 0.3091064134516176, 0.6260288235488111, 4, 1, 104, 49, 165, 6, 13, 6, 
59, 118.04527777777777, 8.501111111111111, 38.333333333333336, 71.21083333333334, 0.0720156813652012, 0.3247341533262896, 0.6032501653085092, 4, 1, 109, 53, 165, 11, 11, 17, 
60, 119.66777777777779, 9.350555555555555, 35.93333333333333, 74.38388888888889, 0.07813762174910167, 0.3002757634562353, 0.621586614794663, 4, 3, 118, 44, 178, 17, 28, 12, 
61, 119.82083333333333, 8.377500000000001, 35.93333333333333, 75.51, 0.06991688980074416, 0.29989220015996104, 0.6301909100392947, 4, 1, 112, 49, 163, 16, 10, 14, 
62, 118.28527777777778, 9.645277777777777, 38.13333333333333, 70.50666666666666, 0.08154250435035824, 0.3223844425083426, 0.5960730531412992, 4, 4, 104, 60, 175, 15, 21, 19, 
63, 118.29138888888889, 9.45861111111111, 38.61666666666667, 70.21611111111112, 0.07996026760659294, 0.32645374299340846, 0.5935859893999986, 3, 5, 104, 58, 173, 19, 17, 18, 
64, 118.81611111111111, 7.094166666666666, 34.333333333333336, 77.38861111111112, 0.05970711042741117, 0.28896193464223424, 0.6513309549303545, 4, 2, 97, 58, 172, 11, 12, 15, 
65, 121.76805555555555, 9.158611111111112, 36.25, 76.35944444444443, 0.07521357772632395, 0.29769712454233344, 0.6270892977313426, 4, 1, 111, 54, 171, 12, 23, 13, 
66, 118.31916666666666, 8.270555555555557, 38.266666666666666, 71.78194444444445, 0.0699003871355491, 0.3234190008663009, 0.60668061199815, 3, 8, 111, 48, 174, 13, 18, 16, 
67, 118.11944444444444, 8.87138888888889, 34.96666666666667, 74.28138888888888, 0.07510523716576911, 0.296028031888625, 0.6288667309456059, 5, 1, 103, 56, 167, 13, 16, 11, 
68, 119.37083333333332, 9.084444444444445, 33.516666666666666, 76.76972222222223, 0.07610271446356476, 0.2807776885755175, 0.6431195969609178, 4, 2, 106, 54, 162, 14, 15, 8, 
69, 119.10222222222221, 9.14611111111111, 32.4, 77.55611111111111, 0.0767921113515934, 0.272035226509441, 0.6511726621389656, 3, 4, 98, 56, 175, 8, 14, 16, 
70, 118.16083333333334, 8.006944444444445, 36.38333333333333, 73.77055555555556, 0.06776310067022584, 0.3079136487696854, 0.6243232505600887, 4, 1, 97, 60, 168, 16, 17, 9, 
